question_number,question,options,correct_option
1,The following drug is used in treatment of benzodiazepine toxicity:,Zoledronic acid|Naloxone|Flurazepam|Flumazenil,Flumazenil
2,The following drug is an ultra-short acting barbiturate used in IV anesthesia,Buspirone|Phenobarbitone|Thiopentone|Propranolol,Thiopentone
3,Which of the following analgesics is a phenanthrene derivative?,Fentanyl|Morphine|Methadone|Pentazocine,Morphine
4,Which of the following opioid analgesics is used in combination with droperidol in neuroleptanalgesia?,Morphine|Buprenorphine|Fentanyl|Morphine,Buprenorphine
5,It is recommended to add atropine to morphine when used in:,Acute left ventricular failure|Renal colic|Cancer pain|Treatment of morphine addiction.,Renal colic
6,Antipyretic analgesics differ from narcotic analgesics as they:,Produce narcosis|Relieve pain at a central and peripheral level|Produce dependence|Are more potent especially in visceral pain,Relieve pain at a central and peripheral level
7,Salicylates can produce bronchial asthma through increase production of:,Kinins|Interferon|Thromboxane A2|Leukotrienes,Leukotrienes
8,The following action of diclofenac augments its anti-inflammatory action:,Blockade leukotriene receptors|Increase blood cortisol level|Incorporate Arachidonic acid into Triglycerides|Induce cyclooxygenase II enzyme,Incorporate Arachidonic acid into Triglycerides
9,Concerning the proposed mechanisms of actlon of antidepressant drugs which statement Is accurate?,Bupropion is one of the selective serotonin reuptake inhibitors.|Chronic treatment with tricyclic antidepressants leads to significant sedative effects.|TCA are preferred in cardiac patients.|Nefazodone one of the potent MAQ inhibitors,Chronic treatment with tricyclic antidepressants leads to significant sedative effects.
10,A female patient is experiencing a depressive episode as part of her bipolar illness. She is been prescribed fluoxetine as monotherapy Which of the following is anticipated to occur?,Relief of depression.|Aggravation of depression.|Provocation of acute manic attack.|Reduction of the dose of lithium carbonate,Provocation of acute manic attack.
11,Which of the following antiparkinsonian drugs may cause vasospasm and we cannot use it with patient has Raynaud's disease?,Bromocriptine|Amantadine|Selegiline|Anticolinergics,Bromocriptine
12,Carbidopa is useful in the management of Parkinson's disease because it is an:,Effective D2 agonist|Effective D2 antagonist|Effective peripheral decarboxylase inhibitor|Effective competitor at the GABA receptor,Effective peripheral decarboxylase inhibitor
13,A patient was prescribed a typical antipsychotic. Upon intake of the antipsychotic he suffered fever exceeding 40°C and uncontrolled tremors as if shivering. He was diagnosed as having neurolept malignant syndrome. What should he be prescribed to resolve such medical emergency?,A dopamine agonist.|A dopamine antagonist.|A muscle relaxant|An antipyretic analgesic.,A muscle relaxant
14,CNS actions of chlorpromazine include all of the following except:,Emetic action|Hypothermia|Increase appetite|Increase prolactin,Emetic action
15,Antiepileptic drug that is used in treatment of ventricular arrhythmia with heart block:,Valproate|Ethothuximide|Lamotrigin|Phenytoin,Phenytoin
16,Tho following drug Is a methylxanthine derivative and used in treatment of Intermittent clandication:,Atropine|Pentoxifylline|Chlorpromazine|Fentanyl,Pentoxifylline
17,Exercise with cating behavior modification should be the main line of management of obese patients with BMI:,30|27|25|40,27
18,Adverse effects of benzodiazepines include;,Convulsions|Insomnia|Migraine|Addiction,Addiction
19,Drug used orally to maintain the Opiate-free state of treated addict:,Naltrexone|Naloxone|Diphenoxylate|Loperamide,Naltrexone
20,If a patient received penicillin antibiotic and he suffered itching pain. Which of the following medications aggravate itching?,Hydrocortisone|Morphine|Adrenaline|Naloxone,Morphine
21,Benzodiazepines produce their actions on the CNS by:,Acting as agonists on GABA-B receptors|Reduction of the effect of GABA on GABA-A receptors|Potentiation of the effect of GABA on GABA-A receptors|Acting as antagonists on GABA-B receptors,Potentiation of the effect of GABA on GABA-A receptors
22,Which one of the following antidepressant having both high sedative and high anticholinergic activity??,Imipramine|Amitriptyline|Fluoxetine|Trazodone,Amitriptyline
23,Which of the following effects of salicylates on blood is an idiosyncratic reaction?,Hypoprothrombinemia|Decrease elevated erythrocytic sedimentation rate|Hemolysis|Decrease platelet aggregation,Hemolysis
24,The nonselective MAO inhibitors are not used clinically as antidepressants because of their:,Low antidepressant efficacy|Higher toxicity|Potential to interact with many foods and drugs|Both 'B' and 'C' are correct,Potential to interact with many foods and drugs
25,Select the psychotropic drug having a narrow safety margin necessitating plasma concentration monitoring:,Chlorpromazine|Buspirone|Lithium carbonate|Fluoxetine,Lithium carbonate
26,A 30 years woman complains of the inability to get pregnant her serum prolactin levels were found to be elevated. What is the best treatment for her?,Bromocriptine|Amantadine|Selegiline|Entacapone,Bromocriptine
27,Which of the following antiparkinsonian medications is contraindicated in case of concomitant benign prostatic hyperplasia?,Selegiline|Levodopa|Bromocryptine.|Biperiden.,Biperiden.
