question_number,question,options,correct_option
1,One of the following anti-diabetics Increases the insulin release via blocking ATP-sensitive K*-channel (K-ATP-Channels) of f -Cells of the pancreas:,Biguanides|Sulphonylurea|Thiazolidinediones|Alpha-Glucosidase Inhibitors,Sulphonylurea
2,Which of the following statements is true for oral anti-diabetic drugs?,Meglitinide is ineffective in regulating postprandial glucose|Metformin could decrease absorption of vitamin B-12|Pioglitazone is harmless to the liver|Acarbose can be used for diabetic patients suffering from gastrointestinal tract disturbances and flatulence,Metformin could decrease absorption of vitamin B-12
3,The mechanism of insulin secretion involves which of the following?,Opening of ATP-dependent potassium channels|Increase in intracellular calcium|Hyperpolarization of beta cells|Block of sodium channels,Increase in intracellular calcium
4,A female who has Type 2 diabetes mellitus is obese and wishes to lose weight. Which of the following medications would you advise her to use?,Thyroxine supplements|Liraglutide|Sulfonylurea|Prednisone,Liraglutide
5,Which of the following is an adverse reaction to methimazole?,Teratogenicity|CNS toxicity|Vomiting|Renal toxicity,Teratogenicity
6,2-year-old boy was brought to the emergency department because of fever irritability increased lethargy and multiple episodes of diarrhea. The mother reported that she found her levothyroxine bottle empty a few hours earlier. Vital signs of the boy were blood pressure 130/80 mm Hg heart rate 180 bpm respirations 26/min. Laboratory test results on admission showed a total tri-iodothyronine level of 472 ng/dL (normal: 40-130 ng/dL). Which of the following drugs should be administered first to control hormone-related effects that could be rapidly lethal in this patient?,Betamethasone|Propranolol|Potassium iodide|Propylthiouracil,Propranolol
7,Long-term administration of glucocorticolds can cause which of the following?,Proximal myopathy|Hyperkalemia|Hypotension|Hearing impairment,Proximal myopathy
8,Cortisol can be uscd in the treatment oficcciveuin,Inflammatory bowel syndrome|Cataract|Diabetes mellitus|Hypertension,Inflammatory bowel syndrome
9,Sudden stoppage of glucocorticoids after prolonged use may result in........,Parkinsonism|Angina|Acute adrenal insufficiency|Hypertension,Acute adrenal insufficiency
10,Which of the following is alpha-glucosidase inhibitor?,Glimepiride|Canagliflozin|Pramlintide|Acarbose,Acarbose
