question_number,question,options,correct_option
1,Regarding innate immunity all of the following is true EXCEPT:,Itis present in all individuals since birth and at all times.|It is important at the beginning of infection.|It cannot tell the difference between pathogens.|It always eliminates infectious organisms successfully.|It involves mainly granulocytes.,It always eliminates infectious organisms successfully.
2,Which of the following has an important role in parasitic infections?,Neutrophils|Mast cells|Eosinophils|Monocytes|Lymphocytes,Eosinophils
3,Which of the following is a primary lymphoid organ:,Bone marrow|Lymph nodes|Spleen|Tonsils|Peyer's patches,Bone marrow
4,Naive lymphocytes are:,immature lymphocytes|Present only in the bone marrow and thymus|Responsible for immunological memory|Mature lymphocytes that have been activated by specific antigens|Mature lymphocytes that have not yet met antigen,Mature lymphocytes that have not yet met antigen
5,Which statement about clonal selection theory is Correct:,Every naive lymphocyte has many types of receptors.|A clone of cells can recognize different antigens.|Only lymphocytes which meet antigens they recognize are activated.|The T cell receptor has 2 antigen recognition sites.|The B cell receptor cannot recognize an antigen directly.,Only lymphocytes which meet antigens they recognize are activated.
6,Comparing BCR and TCR which statement is TRUE?,The B and T cell receptors become released into the surroundings.|In contrast to BCR TCR has 2 antigen binding sites.|Both are cell surface molecules.|Both molecules cooperate in innate immune mechanisms.|They bind to antigens non-specifically.,Both are cell surface molecules.
1,All of the following is true regarding neutrophils EXCEPT:,They are phagocytic cells.|They constitute the majority of peripheral blood leucocytes.|They act mainly as part of the innate immune mechanism.|They are capable of killing abnormal cells by induction of apoptosis.|They are attracted to the site of infection by the action of chemotactic factors.,They are capable of killing abnormal cells by induction of apoptosis.
2,Macrophages perform the following functions EXCEPT:,Antigen presentation|Phagocytosis|Secretion of cytokines|Production of antibodies|Direct cytotoxicity,Production of antibodies
3,Which statement is TRUE concerning acute phase proteins?,They disappear from the circulation after onset of infection.|Endotoxins may stimulate their production.|They deprive pathogens from their essential nutrients.|They are produced by the primary lymphoid organs.|Type 1 IFN is an example of acute phase proteins.,Endotoxins may stimulate their production.
4,All the following statements regarding phagocytosis are true EXCEPT:,Bacteria are engulfed in phagosomes|Natural killer cells are the most important phagocytic cells|Respiratory burst is iethal to microorganisms|Antibodies may aid in recognition|Complement components (C3b) enhance phagocytosis,Natural killer cells are the most important phagocytic cells
5,Enhanced phagocytosis is known as:,Agglutination|Opsonization|Neutralization|Antibody-dependent cellular cytotoxicity|Complement activation,Opsonization
1,All of the following statements about haptens are correct EXCEPT:,They are low molecular weight substances|They are incapable of inducing an immune response alone|They are non-specific potentiators of the immune response|When coupled with a carrier molecule they can act as antigens|Penicillin is an example of a hapten,They are non-specific potentiators of the immune response
2,Antigenicity is increased by all of the following EXCEPT:,Chemical complexity of antigen|Foreignness|Being protein in nature|Very high dose of antigen|Large size of antigen,Very high dose of antigen
1,One of the following is a co-stimulatory molecule:,CD40|CD40L|CD28|CD3|TCR,CD28
2,Regarding helper T cells all of the following statements are true EXCEPT:,They activate macrophages|They activate B cells|They lyse target cells|They recognize antigen presented by class H MHC molecules|They have CD4 molecules on their cell surface,They lyse target cells
3,Dendritic cells are involved in:,Transporting the epitope to the surface of a B cell|Suppressing the immune system|Destroying target cells|Presenting peptides to naive T cells|Producing antibody,Presenting peptides to naive T cells
